match_id,team,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_inside_box,shots_outside_box,fouls,corner_kicks,offsides,ball_possession_pct,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct,expected_goals,goals_prevented,espn_top_xg,espn_keeper_xg_conceded,espn_top_duels_won,espn_top_big_chances_created,espn_top_big_chances_missed,fotmob_expected_goals,fotmob_expected_goals_conceded,fotmob_expected_goals_non_penalty,fotmob_expected_goals_on_target,fotmob_big_chances,fotmob_big_chances_conceded,fotmob_big_chances_missed,fotmob_total_shots,fotmob_shots_on_target,fotmob_shots_inside_box,fotmob_touches_opp_box,fotmob_detail_coverage,fotmob_goal_xg_delta,fotmob_xgot_xg_delta,fotmob_xg_per_shot,fotmob_big_chance_rate,fotmob_big_chance_conversion,fotmob_chance_waste_rate,fotmob_underlying_threat,fotmob_finishing_signal,fotmob_waste_signal,fotmob_low_possession_punch,fotmob_sterile_control_risk,fotmob_defensive_resistance,fotmob_chance_control_signal,fotmob_unrewarded_pressure,fotmob_clinical_chance_signal,source,notes
537348,Australia,2,,5,0,,,16,4,0,38.1,4,0,1,310,219,70,,,0.03,1.08,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760442,ESPN summary API used to fill blank fields.
537348,United States,2,,10,6,,,12,7,1,61.9,3,0,2,523,444,80,,,0.13,0.35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760442,ESPN summary API used to fill blank fields.
537349,Turkey,3,,9,2,,,13,2,2,47.4,0,0,5,434,335,80,,,0.68,2.13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760470,ESPN summary API used to fill blank fields.
537349,United States,7,,18,5,,,13,9,5,52.6,1,0,1,471,398,80,,,0.30,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760470,ESPN summary API used to fill blank fields.
537350,Australia,5,,12,3,,,6,3,0,56,1,0,2,537,438,80,,,0.17,0.24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760469,ESPN summary API used to fill blank fields.
537350,Paraguay,2,,7,1,,,9,1,0,44,1,0,5,426,330,80,,,0.07,0.55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760469,ESPN summary API used to fill blank fields.
537351,Curaçao,2,,8,0,,,11,1,0,35.4,0,0,4,343,282,80,,,0.10,4.22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93083; ESPN event 760422,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537351,Germany,12,,26,8,,,18,8,1,64.6,0,0,1,637,554,90,,,1.01,0.41,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93083; ESPN event 760422,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537352,Ecuador,1,,12,3,,,13,6,0,51.6,1,0,3,492,419,90,,,0.14,1.52,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93082; ESPN event 760423,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537352,Ivory Coast,4,,15,3,,,10,3,0,48.4,3,0,1,470,397,80,,,0.27,1.01,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93082; ESPN event 760423,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537353,Germany,7,,16,4,,,5,8,0,59.5,0,0,1,624,555,90,,,0.21,1.22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760448,ESPN summary API used to fill blank fields.
537353,Ivory Coast,2,,9,5,,,7,3,1,40.5,0,0,5,431,367,90,,,0.46,1.89,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760448,ESPN summary API used to fill blank fields.
537354,Curaçao,3,,10,3,,,10,0,2,25.4,5,0,15,227,159,70,,,0.14,2.84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760446,ESPN summary API used to fill blank fields.
537354,Ecuador,15,,27,2,,,7,9,1,74.6,1,0,3,644,581,90,,,1.50,0.50,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760446,ESPN summary API used to fill blank fields.
537355,Ecuador,3,,7,2,,,15,3,1,38.9,3,0,2,378,312,80,,,0.87,0.65,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760468,ESPN summary API used to fill blank fields.
537355,Germany,3,,11,5,,,10,2,0,61.1,1,0,1,592,517,90,,,0.17,1.27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760468,ESPN summary API used to fill blank fields.
537356,Curaçao,2,,11,2,,,11,4,2,36.7,2,0,1,355,295,80,,,0.07,1.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760473,ESPN summary API used to fill blank fields.
